r,BATTERY|PVB,COAL|BIO,COMBINED_CYCLE,COMBUSTION_TURBINE|CONSUME|LFILL|OGS,NUCLEAR,TES|CSP
p19045,0.0115,0.0565,0.0251,0.0242,0.0239,0.0135
p19047,0.0041,0.0129,-0.0025,-0.0041,0.0026,-0.0002
p19049,0.0078,0.0304,0.0099,0.0078,0.0123,0.0069
p19051,0.0158,0.0585,0.0293,0.0265,0.0287,0.0175
p19053,0.0112,0.0458,0.0223,0.0187,0.022,0.014
p19055,0.0066,0.0304,0.0088,0.0071,0.0108,0.0056
p19057,0.0152,0.0621,0.0296,0.028,0.0288,0.0166
p19059,0.0047,0.0481,0.0272,0.023,0.018,0.016
p19061,0.0108,0.0539,0.0249,0.0227,0.0228,0.0145
p19063,0.006,0.0541,0.0313,0.027,0.0211,0.0182
p19065,0.003,0.0116,-0.0038,-0.005,0.0011,-0.0012
p19067,0.0037,0.0172,0.0011,-0.0004,0.0039,0.0018
p19069,0.0039,0.0164,0.0002,-0.0012,0.0034,0.0013
p19071,0.0019,0.001,-0.011,-0.0117,-0.0034,-0.0047
p19073,0.0069,0.0278,0.0084,0.0063,0.0105,0.0059
p19075,0.0016,0.0,-0.0125,-0.0129,-0.0047,-0.0057
p19077,0.0065,0.0242,0.0055,0.0035,0.0088,0.0045
p19079,0.0057,0.0263,0.0077,0.0056,0.009,0.0054
p19081,0.0066,0.0402,0.019,0.016,0.0152,0.0117
p19083,0.0039,0.0139,-0.0019,-0.0033,0.0024,0.0
p19085,0.001,-0.0035,-0.015,-0.0153,-0.0065,-0.0071
p19087,0.015,0.0603,0.0287,0.0269,0.0282,0.0161
p19089,0.0044,0.0324,0.0131,0.0106,0.0108,0.0082
p19091,0.007,0.0398,0.0184,0.0153,0.0156,0.0114
p19093,0.0039,0.0153,0.0001,-0.0014,0.0034,0.0013
p19095,0.0079,0.0334,0.0109,0.0092,0.0128,0.007
p19097,0.0125,0.061,0.0291,0.0274,0.0265,0.0164
p19099,0.0071,0.0291,0.0087,0.0068,0.0108,0.006
p19101,0.014,0.0572,0.0273,0.025,0.0263,0.016
p19103,0.0096,0.0441,0.0175,0.0162,0.0181,0.0103
p19105,0.0096,0.0462,0.0191,0.0176,0.0188,0.0109
p19107,0.0109,0.0465,0.0202,0.0182,0.0204,0.0122
p19109,0.0075,0.0514,0.0283,0.0244,0.0206,0.0169
p19111,0.0192,0.0689,0.0348,0.0326,0.0341,0.0204
p19113,0.0067,0.0278,0.0068,0.0055,0.0095,0.0045
p19115,0.0125,0.057,0.0258,0.0243,0.0248,0.0142
p19117,0.0114,0.0449,0.0203,0.0176,0.0209,0.0128
p19119,0.0015,0.03,0.0138,0.011,0.0093,0.0087
p19121,0.0086,0.033,0.0124,0.0098,0.0142,0.0082
p19123,0.01,0.0418,0.0175,0.0152,0.0179,0.011
p19125,0.0097,0.0389,0.0159,0.0134,0.0169,0.01
p19127,0.0041,0.0143,-0.0021,-0.0032,0.0029,0.0
p19129,0.0008,-0.0054,-0.0164,-0.0166,-0.0073,-0.0078
p19131,0.0054,0.0363,0.0164,0.0136,0.0128,0.0101
p19133,0.0019,0.0032,-0.0091,-0.0101,-0.0027,-0.0038
p19135,0.0127,0.0484,0.0224,0.0197,0.0228,0.0138
p19137,0.003,0.0063,-0.0073,-0.0087,-0.0007,-0.0028
p19139,0.0111,0.0536,0.0232,0.0222,0.0224,0.0123
p19141,0.0021,0.0276,0.0114,0.0089,0.0082,0.007
p19143,0.002,0.0368,0.0196,0.0161,0.0123,0.0117
p19145,0.0034,0.0097,-0.0038,-0.0054,0.0017,-0.0009
p19147,0.0071,0.0474,0.0253,0.0213,0.0188,0.015
p19149,0.0011,0.0165,0.0023,0.0004,0.0034,0.0025
p19151,0.0067,0.0383,0.0177,0.0145,0.0146,0.0108
p19153,0.0078,0.0321,0.0112,0.0091,0.0127,0.0074
p19155,0.0012,-0.004,-0.0152,-0.0158,-0.0064,-0.0075
p19157,0.007,0.0276,0.0071,0.0054,0.0099,0.005
p19159,0.0093,0.0379,0.017,0.0136,0.0178,0.0113
p19161,0.0055,0.0236,0.0062,0.0039,0.0079,0.0046
p19163,0.0103,0.0513,0.021,0.0209,0.0206,0.0105
p19165,0.0028,0.0051,-0.0085,-0.0095,-0.0014,-0.0034
p19167,0.0016,0.0237,0.0083,0.0059,0.0065,0.0056
p19169,0.0058,0.025,0.0062,0.0043,0.0085,0.0045
p19171,0.003,0.0059,-0.0083,-0.0093,-0.0016,-0.0035
p19173,0.0068,0.0264,0.0083,0.0058,0.0112,0.0062
p19175,0.0083,0.0324,0.0124,0.0096,0.0144,0.0083
p19177,0.0168,0.0613,0.0303,0.0278,0.0298,0.018
p19179,0.013,0.0534,0.0256,0.023,0.0246,0.0153
p19181,0.0095,0.0369,0.0146,0.0121,0.016,0.0095
p19183,0.0119,0.0536,0.0242,0.0225,0.0233,0.0138
p19185,0.0128,0.0506,0.0251,0.0216,0.0247,0.0156
p19187,0.0068,0.0339,0.0136,0.0109,0.0129,0.0087
p19189,0.0077,0.0533,0.0302,0.026,0.0211,0.0178
p19191,0.0049,0.0343,0.0141,0.0113,0.0118,0.0087
p19193,0.0014,0.0096,-0.0037,-0.005,0.0003,-0.0009
p19195,0.0068,0.0465,0.0247,0.0209,0.0181,0.0148
p19197,0.0059,0.0309,0.0114,0.0091,0.0111,0.0075
p20001,0.0083,0.0283,0.0132,0.0095,0.0153,0.0093
p20003,0.0087,0.0374,0.0212,0.016,0.0208,0.0139
p20005,0.0093,0.0519,0.0334,0.0263,0.0289,0.0206
p20007,-0.0005,-0.0132,-0.0194,-0.0195,-0.0104,-0.009
p20009,-0.0005,-0.0072,-0.015,-0.0158,-0.0075,-0.0065
p20011,0.0102,0.0348,0.0188,0.0143,0.0198,0.0126
p20013,0.0074,0.038,0.0211,0.0158,0.0198,0.0135
p20015,0.0007,-0.007,-0.0171,-0.0175,-0.0078,-0.0083
p20017,0.003,0.0035,-0.0081,-0.0094,-0.0009,-0.0029
p20019,0.0025,-0.0037,-0.0129,-0.0136,-0.0044,-0.0055
p20021,0.01,0.0179,0.0047,0.0029,0.0107,0.005
p20023,-0.0057,-0.0082,-0.012,-0.013,-0.0092,-0.004
p20025,-0.0002,-0.0126,-0.0178,-0.0181,-0.0094,-0.0077
p20027,0.0044,0.0127,-0.0003,-0.0025,0.0046,0.0014
p20029,0.0019,0.0062,-0.0049,-0.0069,0.0,-0.0012
p20031,0.0069,0.0262,0.0115,0.0078,0.0137,0.0083
p20033,-0.0009,-0.0139,-0.019,-0.0194,-0.0102,-0.0087
p20035,0.0009,-0.0082,-0.0173,-0.0175,-0.008,-0.0081
p20037,0.01,0.0258,0.0111,0.0081,0.015,0.0084
p20039,-0.0046,-0.0065,-0.0117,-0.0127,-0.008,-0.004
p20041,0.0039,0.0073,-0.0048,-0.0063,0.0018,-0.0011
p20043,0.0089,0.0494,0.0311,0.0246,0.0271,0.0194
p20045,0.0097,0.0566,0.0378,0.0302,0.0322,0.0232
p20047,-0.0001,-0.0091,-0.0162,-0.0167,-0.008,-0.007
p20049,0.0028,-0.0015,-0.0116,-0.0124,-0.0036,-0.0051
p20051,-0.0024,-0.006,-0.0129,-0.0142,-0.0073,-0.0053
p20053,0.0003,-0.0046,-0.0134,-0.0143,-0.0058,-0.006
p20055,-0.0021,-0.0074,-0.0134,-0.0142,-0.0079,-0.005
p20057,-0.0005,-0.0101,-0.0161,-0.0168,-0.0082,-0.0068
p20059,0.0094,0.0494,0.0316,0.0248,0.028,0.0196
p20061,0.0051,0.0145,0.0013,-0.0012,0.0063,0.0025
p20063,-0.0029,-0.0058,-0.012,-0.013,-0.007,-0.0041
p20065,-0.0033,-0.0059,-0.0122,-0.0133,-0.0074,-0.0048
p20067,-0.002,-0.0077,-0.0134,-0.0142,-0.0077,-0.005
p20069,-0.002,-0.0085,-0.0144,-0.0153,-0.008,-0.0059
p20071,-0.0037,-0.0075,-0.013,-0.013,-0.0082,-0.004
p20073,0.0032,0.0031,-0.008,-0.0095,-0.0009,-0.0029
p20075,-0.0028,-0.007,-0.013,-0.0132,-0.0077,-0.0045
p20077,0.0,-0.0116,-0.0192,-0.0194,-0.0099,-0.009
p20079,0.0005,-0.0082,-0.0182,-0.0185,-0.0086,-0.0089
p20081,-0.002,-0.0082,-0.0141,-0.0149,-0.008,-0.0054
p20083,-0.002,-0.0076,-0.0143,-0.0151,-0.0079,-0.0059
p20085,0.0083,0.0409,0.0236,0.0181,0.0222,0.0154
p20087,0.0095,0.0557,0.0371,0.0292,0.0313,0.0227
p20089,-0.0009,0.0001,-0.0087,-0.0104,-0.0036,-0.003
p20091,0.01,0.0666,0.047,0.0377,0.038,0.0284
p20093,-0.0026,-0.0071,-0.013,-0.014,-0.008,-0.005
p20095,0.0001,-0.0094,-0.0182,-0.0185,-0.0088,-0.0087
p20097,0.0,-0.0112,-0.0175,-0.018,-0.0091,-0.0079
p20099,0.0074,0.0109,-0.0006,-0.0022,0.006,0.0019
p20101,-0.0022,-0.0066,-0.013,-0.0139,-0.007,-0.005
p20103,0.01,0.0645,0.045,0.0361,0.0368,0.0271
p20105,0.0009,0.0,-0.0096,-0.0111,-0.0033,-0.0036
p20107,0.0102,0.0468,0.0288,0.0231,0.0267,0.0182
p20109,-0.0036,-0.0068,-0.012,-0.013,-0.0078,-0.004
p20111,0.0055,0.0174,0.0041,0.001,0.0081,0.004
p20113,0.0012,-0.0048,-0.0149,-0.0152,-0.0061,-0.0067
p20115,0.002,-0.002,-0.0129,-0.0137,-0.0044,-0.0056
p20117,0.0056,0.0217,0.0069,0.0038,0.0095,0.0054
p20119,-0.0003,-0.0113,-0.0164,-0.017,-0.0085,-0.0069
p20121,0.01,0.0582,0.0393,0.0313,0.0331,0.0239
p20123,-0.0008,-0.0005,-0.0094,-0.0109,-0.0039,-0.0035
p20125,0.0048,0.0033,-0.0067,-0.0081,0.0006,-0.002
p20127,0.0045,0.0111,-0.0016,-0.0036,0.004,0.0008
p20129,-0.0011,-0.0067,-0.013,-0.0137,-0.0067,-0.0047
p20131,0.0064,0.029,0.0132,0.0091,0.0142,0.009
p20133,0.0077,0.0186,0.0053,0.0028,0.0099,0.0051
p20135,-0.002,-0.0064,-0.0132,-0.0142,-0.007,-0.0052
p20137,-0.0038,-0.0055,-0.0117,-0.0129,-0.0073,-0.004
p20139,0.0081,0.0376,0.0214,0.0161,0.0204,0.0138
p20141,-0.0017,-0.0031,-0.011,-0.0124,-0.0055,-0.0042
p20143,0.0025,0.0056,-0.0057,-0.0075,0.0001,-0.0016
p20145,-0.0007,-0.0082,-0.0154,-0.0159,-0.0078,-0.0067
p20147,-0.0029,-0.004,-0.011,-0.0122,-0.0062,-0.004
p20149,0.0068,0.0269,0.0118,0.0079,0.0139,0.0084
p20151,0.0004,-0.0097,-0.0172,-0.0178,-0.0085,-0.0079
p20153,-0.0046,-0.0064,-0.0116,-0.0122,-0.0078,-0.0039
p20155,0.0007,-0.0081,-0.0174,-0.0178,-0.0082,-0.0083
p20157,0.0013,0.0053,-0.0055,-0.0075,-0.0006,-0.0016
p20159,0.0001,-0.0074,-0.0161,-0.0167,-0.0077,-0.0075
p20161,0.006,0.018,0.0043,0.0015,0.0085,0.0041
p20163,-0.0025,-0.0047,-0.0116,-0.0129,-0.0066,-0.0045
p20165,-0.0017,-0.0069,-0.0139,-0.0149,-0.0076,-0.0059
p20167,-0.0016,-0.0047,-0.0126,-0.0136,-0.0064,-0.0052
p20169,0.0023,0.0008,-0.0097,-0.0107,-0.0024,-0.0038
p20171,-0.003,-0.007,-0.013,-0.0136,-0.0075,-0.0049
p20173,0.0,-0.0099,-0.0197,-0.0198,-0.01,-0.01
p20175,-0.0015,-0.0097,-0.0152,-0.0158,-0.008,-0.0062
p20177,0.0083,0.042,0.0249,0.0193,0.0229,0.0158
p20179,-0.0032,-0.0055,-0.0114,-0.0124,-0.007,-0.0041
p20181,-0.0052,-0.008,-0.0124,-0.013,-0.0091,-0.004
p20183,-0.002,-0.0025,-0.0101,-0.0116,-0.0052,-0.0039
p20185,0.0001,-0.0089,-0.0166,-0.0173,-0.0084,-0.0077
p20187,-0.002,-0.0069,-0.013,-0.0135,-0.007,-0.0047
p20189,-0.0017,-0.0081,-0.014,-0.0147,-0.0076,-0.0052
p20191,0.0,-0.0104,-0.0192,-0.0192,-0.0097,-0.0092
p20193,-0.004,-0.0064,-0.0119,-0.0128,-0.0076,-0.004
p20195,-0.0022,-0.0054,-0.0122,-0.0132,-0.0067,-0.0047
p20197,0.0068,0.0268,0.0119,0.0079,0.0138,0.0086
p20199,-0.0044,-0.0078,-0.0126,-0.013,-0.0087,-0.004
p20201,0.0045,0.0151,0.0014,-0.001,0.0057,0.0023
p20203,-0.0032,-0.007,-0.0129,-0.0131,-0.008,-0.0043
p20205,0.0052,0.0091,-0.0026,-0.0044,0.0036,0.0004
p20207,0.0059,0.0159,0.003,0.0002,0.0076,0.0034
p20209,0.01,0.0693,0.0493,0.0393,0.0393,0.0293
p21001,0.0194,0.0001,-0.0062,-0.0039,0.0092,-0.0022
p21003,0.0311,-0.0031,-0.0073,-0.001,0.0159,-0.0007
p21005,0.0148,0.0045,-0.0035,-0.0032,0.007,-0.0012
p21007,0.0363,0.0338,0.014,0.0172,0.0312,0.0107
p21009,0.0256,0.0013,-0.0051,-0.001,0.0136,-0.0005
p21011,0.0041,-0.0034,-0.0084,-0.0077,0.0009,-0.0033
p21013,0.01,-0.0033,-0.0094,-0.007,0.0034,-0.0037
p21015,-0.0068,-0.0155,-0.0167,-0.0168,-0.0073,-0.0082
p21017,0.0047,-0.0052,-0.0102,-0.0092,-0.0002,-0.0043
p21019,0.002,0.0107,0.0023,0.0027,0.0063,0.0043
p21021,0.014,0.0008,-0.006,-0.0052,0.006,-0.0022
p21023,-0.003,-0.0075,-0.0115,-0.0117,-0.0025,-0.005
p21025,0.0061,-0.0005,-0.0065,-0.0051,0.0024,-0.0017
p21027,0.0215,0.0132,0.0021,0.0031,0.014,0.0022
p21029,0.0198,0.0106,0.0004,0.0004,0.0106,0.0004
p21031,0.0273,0.0034,-0.0037,0.0004,0.0153,0.0004
p21033,0.0319,0.0117,0.0009,0.0053,0.021,0.0034
p21035,0.0321,0.0076,-0.0019,0.003,0.0199,0.0021
p21037,-0.008,-0.0173,-0.018,-0.018,-0.008,-0.009
p21039,0.035,0.027,0.0095,0.0135,0.028,0.0085
p21041,0.0095,0.005,-0.003,-0.003,0.006,-0.0015
p21043,0.003,0.0055,-0.0016,-0.0011,0.0044,0.0016
p21045,0.0155,-0.0003,-0.0067,-0.005,0.0067,-0.0026
p21047,0.0323,0.0016,-0.0048,0.0012,0.0181,0.0007
p21049,0.0068,-0.0034,-0.0086,-0.0076,0.0016,-0.0036
p21051,0.009,-0.0028,-0.0084,-0.0063,0.003,-0.003
p21053,0.02,-0.004,-0.009,-0.005,0.0083,-0.003
p21055,0.0339,0.0299,0.0124,0.0153,0.0287,0.0099
p21057,0.021,-0.004,-0.0088,-0.005,0.0092,-0.003
p21059,0.026,0.0224,0.0081,0.0095,0.021,0.0065
p21061,0.0248,0.0036,-0.0034,-0.0002,0.0138,0.0
p21063,0.0034,0.006,-0.0012,-0.001,0.0046,0.0018
p21065,0.0076,-0.0022,-0.008,-0.007,0.0022,-0.003
p21067,0.0087,-0.0027,-0.0083,-0.0073,0.0023,-0.0037
p21069,0.0024,-0.0019,-0.0073,-0.0069,0.0011,-0.0027
p21071,0.0043,0.0047,-0.003,-0.0017,0.004,0.0007
p21073,0.0118,0.003,-0.005,-0.0045,0.0055,-0.002
p21075,0.0343,0.0218,0.0063,0.01,0.0258,0.0067
p21077,-0.001,-0.007,-0.0115,-0.0115,-0.002,-0.0055
p21079,0.0112,-0.0014,-0.0074,-0.006,0.004,-0.003
p21081,-0.0006,-0.006,-0.0106,-0.0108,-0.0012,-0.005
p21083,0.0335,0.0172,0.0038,0.0078,0.0238,0.0052
p21085,0.0226,0.0064,-0.0022,0.0002,0.0127,0.0003
p21087,0.0206,0.0048,-0.0034,-0.001,0.0112,-0.0002
p21089,0.0022,0.0068,-0.0002,-0.0002,0.0048,0.0024
p21091,0.0233,0.0187,0.0057,0.0063,0.0173,0.0043
p21093,0.0201,0.0084,-0.001,-0.0001,0.0109,0.0002
p21095,0.0076,-0.0022,-0.0086,-0.0064,0.0025,-0.0031
p21097,0.0024,-0.0064,-0.0104,-0.0102,-0.0006,-0.0048
p21099,0.0217,0.005,-0.0029,-0.001,0.0119,0.0
p21101,0.0297,0.0336,0.0148,0.0162,0.0273,0.0103
p21103,0.0136,0.0069,-0.0021,-0.0021,0.0074,-0.0006
p21105,0.0342,0.0202,0.0055,0.0095,0.0252,0.0062
p21107,0.0306,0.0148,0.0032,0.0068,0.0215,0.0044
p21109,0.0094,-0.0024,-0.008,-0.0064,0.003,-0.003
p21111,0.0199,0.01,0.0,0.0,0.01,0.0
p21113,0.0103,-0.0015,-0.0075,-0.0065,0.0035,-0.003
p21115,0.0036,0.0056,-0.002,-0.0011,0.0043,0.0016
p21117,-0.0077,-0.0167,-0.0177,-0.0177,-0.0077,-0.009
p21119,0.0057,0.0026,-0.0047,-0.0031,0.004,-0.0004
p21121,0.0104,-0.003,-0.009,-0.007,0.0037,-0.0034
p21123,0.0195,0.0067,-0.002,-0.001,0.0105,0.0
p21125,0.0115,-0.0025,-0.0082,-0.0062,0.0043,-0.003
p21127,0.0027,0.0101,0.0018,0.0021,0.0061,0.0038
p21129,0.0072,-0.002,-0.0078,-0.0062,0.0022,-0.0026
p21131,0.0079,-0.001,-0.0074,-0.0052,0.0031,-0.0022
p21133,0.0057,0.0021,-0.0053,-0.0034,0.0034,-0.0007
p21135,0.0021,0.0009,-0.0051,-0.0048,0.0023,-0.001
p21137,0.0133,-0.0003,-0.0067,-0.0053,0.0057,-0.0028
p21139,0.0332,0.0222,0.0072,0.0107,0.0253,0.0068
p21141,0.0326,-0.0022,-0.0065,0.0001,0.0173,0.0001
p21143,0.0322,0.012,0.0012,0.0054,0.0212,0.0036
p21145,0.0348,0.0265,0.0098,0.013,0.0275,0.0083
p21147,0.0158,-0.0028,-0.0086,-0.0059,0.0067,-0.003
p21149,0.0282,0.0212,0.007,0.0092,0.022,0.006
p21151,0.0091,-0.0022,-0.008,-0.007,0.0029,-0.003
p21153,0.0046,0.0022,-0.0046,-0.0034,0.0034,-0.0004
p21155,0.0177,0.0048,-0.0037,-0.0023,0.009,-0.001
p21157,0.033,0.014,0.002,0.0064,0.0224,0.0042
p21159,0.0026,0.0082,0.0002,0.0012,0.005,0.0032
p21161,-0.0003,-0.0062,-0.0102,-0.0098,-0.0015,-0.0043
p21163,0.0204,0.0127,0.0017,0.0021,0.0123,0.0016
p21165,0.0047,-0.002,-0.0073,-0.0063,0.002,-0.0023
p21167,0.0133,0.0013,-0.0055,-0.005,0.0058,-0.0022
p21169,0.023,0.0022,-0.0046,-0.0014,0.0126,-0.0008
p21171,0.0268,-0.0018,-0.0069,-0.0023,0.0138,-0.0012
p21173,0.0055,-0.0035,-0.0087,-0.0077,0.001,-0.0035
p21175,0.0043,0.0004,-0.006,-0.005,0.0023,-0.0011
p21177,0.0286,0.0054,-0.0025,0.0018,0.017,0.0014
p21179,0.0187,0.0076,-0.0015,-0.001,0.0098,0.0
p21181,0.0023,-0.005,-0.0093,-0.009,-0.0003,-0.0043
p21183,0.0254,0.0088,-0.0004,0.0022,0.0155,0.0016
p21185,0.018,0.0097,0.0,0.0,0.0097,0.0
p21187,0.0053,-0.0004,-0.0069,-0.0069,0.0024,-0.003
p21189,0.0078,-0.002,-0.008,-0.006,0.0027,-0.003
p21191,-0.0028,-0.0085,-0.0122,-0.0123,-0.0032,-0.0055
p21193,0.0069,0.0007,-0.0063,-0.0046,0.0034,-0.0014
p21195,0.0035,0.0058,-0.0023,-0.0009,0.0041,0.0015
p21197,0.0063,-0.0027,-0.008,-0.007,0.002,-0.003
p21199,0.0146,-0.0015,-0.0075,-0.005,0.0063,-0.003
p21201,0.0003,-0.007,-0.011,-0.0107,-0.0017,-0.005
p21203,0.0113,-0.0022,-0.0079,-0.0059,0.004,-0.003
p21205,0.0038,0.0014,-0.0048,-0.0042,0.003,-0.0008
p21207,0.0178,-0.0023,-0.0078,-0.005,0.0077,-0.003
p21209,0.0068,-0.0025,-0.0083,-0.0078,0.0022,-0.0037
p21211,0.017,0.0087,-0.0008,-0.0007,0.0093,-0.0002
p21213,0.0335,-0.0045,-0.0075,-0.001,0.0173,0.0
p21215,0.018,0.0087,-0.0007,-0.0007,0.0093,-0.0002
p21217,0.0185,0.0043,-0.0037,-0.0022,0.0098,-0.001
p21219,0.0327,-0.0011,-0.0059,0.0003,0.0179,0.0003
p21221,0.0323,0.0043,-0.0035,0.0022,0.019,0.0014
p21223,0.014,0.008,-0.0013,-0.0013,0.0087,-0.0003
p21225,0.0323,0.0391,0.0181,0.0196,0.0313,0.0127
p21227,0.0288,-0.0001,-0.0058,-0.0005,0.0155,0.0
p21229,0.017,0.0057,-0.0027,-0.0023,0.0087,-0.001
p21231,0.0174,-0.003,-0.0085,-0.0054,0.0074,-0.003
p21233,0.0312,0.0285,0.0117,0.0142,0.0268,0.009
p21235,0.0131,-0.0031,-0.0089,-0.0063,0.0051,-0.0036
p21237,0.0057,-0.0013,-0.007,-0.0058,0.002,-0.002
p21239,0.0113,0.0003,-0.0067,-0.0057,0.0043,-0.0027
p22001,0.0104,-0.0415,-0.0339,-0.03,-0.0109,-0.0157
p22003,0.0078,-0.0496,-0.0389,-0.034,-0.0166,-0.0192
p22005,0.0221,-0.0133,-0.017,-0.0163,0.0093,-0.005
p22007,0.0213,-0.0149,-0.018,-0.017,0.0082,-0.0057
p22009,0.0125,-0.0364,-0.0307,-0.0273,-0.0077,-0.0139
p22011,0.0044,-0.0589,-0.0447,-0.0389,-0.0232,-0.0232
p22013,0.0127,-0.0413,-0.0347,-0.0293,-0.0121,-0.0159
p22015,0.0117,-0.0395,-0.0335,-0.0283,-0.0121,-0.0153
p22017,0.0097,-0.0404,-0.0339,-0.029,-0.0137,-0.0158
p22019,0.0024,-0.0636,-0.0476,-0.0415,-0.0263,-0.0252
p22021,0.0147,-0.0348,-0.0302,-0.0257,-0.0071,-0.0134
p22023,0.0032,-0.0611,-0.0461,-0.0402,-0.0245,-0.0241
p22025,0.0133,-0.0355,-0.0304,-0.0266,-0.0075,-0.0135
p22027,0.0156,-0.0381,-0.0332,-0.0272,-0.0096,-0.0146
p22029,0.0133,-0.0341,-0.0293,-0.0261,-0.0063,-0.0127
p22031,0.0083,-0.0478,-0.0382,-0.0329,-0.0171,-0.0188
p22033,0.0184,-0.0208,-0.0213,-0.0199,0.0037,-0.0079
p22035,0.0172,-0.0311,-0.0283,-0.0233,-0.0044,-0.0117
p22037,0.0167,-0.0236,-0.0229,-0.0214,0.0011,-0.0087
p22039,0.0107,-0.0419,-0.034,-0.0299,-0.0112,-0.0159
p22041,0.0146,-0.0336,-0.0294,-0.0254,-0.0062,-0.013
p22043,0.0113,-0.0415,-0.0343,-0.0298,-0.0116,-0.0161
p22045,0.015,-0.0286,-0.0262,-0.024,-0.0023,-0.0109
p22047,0.0189,-0.0205,-0.0213,-0.0198,0.0039,-0.0078
p22049,0.0153,-0.0357,-0.0309,-0.0259,-0.008,-0.0136
p22051,0.0274,-0.0043,-0.0122,-0.0122,0.0166,-0.0014
p22053,0.0074,-0.0502,-0.0392,-0.0345,-0.017,-0.0197
p22055,0.013,-0.0342,-0.0294,-0.027,-0.0062,-0.013
p22057,0.0242,-0.0095,-0.0151,-0.0146,0.0123,-0.0034
p22059,0.0127,-0.0378,-0.0317,-0.0276,-0.0091,-0.0144
p22061,0.0166,-0.0348,-0.0308,-0.0252,-0.0074,-0.0133
p22063,0.0213,-0.0147,-0.0179,-0.0172,0.0081,-0.0052
p22065,0.0153,-0.0325,-0.0288,-0.0249,-0.0058,-0.0125
p22067,0.0201,-0.0276,-0.0262,-0.0207,-0.0024,-0.0103
p22069,0.0096,-0.046,-0.0372,-0.0322,-0.0152,-0.018
p22071,0.027,-0.0048,-0.0124,-0.0122,0.016,-0.0014
p22073,0.0179,-0.0299,-0.0273,-0.0222,-0.004,-0.0112
p22075,0.0187,-0.0176,-0.0191,-0.0186,0.0054,-0.0062
p22077,0.0153,-0.0287,-0.026,-0.0237,-0.0022,-0.0108
p22079,0.0103,-0.0434,-0.0351,-0.0307,-0.0125,-0.0167
p22081,0.0104,-0.0453,-0.037,-0.0316,-0.0149,-0.0176
p22083,0.0163,-0.0326,-0.0289,-0.0244,-0.0057,-0.0125
p22085,0.0071,-0.0522,-0.0409,-0.0354,-0.0194,-0.0205
p22087,0.0199,-0.0153,-0.018,-0.0177,0.0075,-0.0054
p22089,0.0281,-0.0026,-0.0114,-0.0114,0.0178,-0.001
p22091,0.0175,-0.0219,-0.0215,-0.0205,0.0024,-0.008
p22093,0.0243,-0.01,-0.0155,-0.0145,0.012,-0.0035
p22095,0.026,-0.0062,-0.0131,-0.013,0.015,-0.0022
p22097,0.0131,-0.0347,-0.0297,-0.0266,-0.0064,-0.0132
p22099,0.0159,-0.0259,-0.0246,-0.0226,-0.0003,-0.0097
p22101,0.0176,-0.0229,-0.0226,-0.0211,0.0022,-0.0087
p22103,0.0198,-0.0158,-0.018,-0.0178,0.007,-0.0055
p22105,0.0193,-0.0174,-0.0192,-0.0186,0.0056,-0.0063
p22107,0.0143,-0.0326,-0.0284,-0.025,-0.0059,-0.0124
p22109,0.0213,-0.0151,-0.0183,-0.0174,0.0079,-0.0056
p22111,0.0198,-0.0297,-0.0276,-0.0218,-0.0037,-0.0112
p22113,0.0105,-0.0394,-0.0328,-0.0295,-0.01,-0.0154
p22115,0.0067,-0.0524,-0.0409,-0.0357,-0.0192,-0.0205
p22117,0.013,-0.0271,-0.024,-0.0231,-0.0022,-0.0095
p22119,0.0139,-0.0392,-0.0338,-0.028,-0.0111,-0.0152
p22121,0.0177,-0.0223,-0.0223,-0.0207,0.002,-0.0083
p22123,0.0184,-0.0301,-0.0274,-0.0226,-0.0039,-0.0114
p22125,0.0158,-0.0267,-0.0248,-0.0227,-0.0012,-0.0102
p22127,0.0129,-0.0387,-0.0327,-0.0279,-0.0102,-0.0149
p23001,0.0205,0.0621,0.0323,0.0291,0.0376,0.022
p23003,0.0454,0.137,0.0829,0.0741,0.079,0.05
p23005,0.0146,0.0441,0.0196,0.0183,0.0277,0.0152
p23007,0.0384,0.1051,0.0608,0.0544,0.0634,0.0379
p23009,0.0373,0.1212,0.0733,0.0656,0.069,0.0444
p23011,0.0274,0.0831,0.0467,0.0419,0.0492,0.0298
p23013,0.0285,0.0929,0.0538,0.0482,0.0535,0.0337
p23015,0.0236,0.0755,0.0417,0.0378,0.0444,0.0272
p23017,0.0334,0.0908,0.0511,0.0457,0.0551,0.0325
p23019,0.0398,0.1223,0.0733,0.0655,0.0705,0.0446
p23021,0.0421,0.1244,0.0743,0.0664,0.0725,0.0453
p23023,0.0178,0.056,0.0281,0.0258,0.034,0.0199
p23025,0.0411,0.1166,0.0686,0.0615,0.069,0.0423
p23027,0.0321,0.1005,0.0588,0.0525,0.0582,0.0364
p23029,0.0415,0.1358,0.0831,0.0743,0.0767,0.0499
p23031,0.0244,0.0754,0.042,0.0367,0.0444,0.0269
p24001,0.0119,0.057,0.0359,0.0304,0.0274,0.0186
p24003,0.0115,0.0465,0.0269,0.0234,0.025,0.0145
p24005,0.0123,0.049,0.0257,0.0235,0.0275,0.017
p24009,0.0134,0.059,0.0386,0.0331,0.0289,0.0184
p24011,0.0153,0.1324,0.0909,0.0823,0.0589,0.0519
p24013,0.0139,0.0587,0.0348,0.0308,0.0309,0.0197
